entity_id,session_key,session_id_impressions,session_id_order,platform_order_code,df_dps,df_impressions,delivery_fee_eur,dps_delivery_fee_eur
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,0.0,0.0,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,3.99,3.99,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,3.99,3.99,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,2.49,2.49,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,2.49,2.49,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,3.99,3.99,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,0.0,0.0,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,2.49,2.49,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,2.49,2.49,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,3.99,3.99,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,0.0,0.0,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,4.99,4.99,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,2.49,2.49,,
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,1718126066323.5895403762.lgxlwzuenv,zoa8-2424-bcgs,2.49,2.49,2.490000000,2.490000000
MJM_AT,UkcO3EeUfa8SSvtJqIcYiA==,1718126066323.5895403762.lgxlwzuenv,,,3.99,3.99,,
